Genre,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
p-pop,284,184,728
german indie,284,184,565
standards,284,0,868
turreo,282,160,644
quiet storm,282,56,396
pagode,280,201,418
tribal house,280,25,390
traditional,280,0,564
software company as artist,280,0,549
african gospel,279,28,795
latin ballad,279,0,574
merge me,279,0,553
cleanup,279,0,547
dumping ground,279,0,547
johny johny yes papa,279,0,547
kids hut,279,0,547
kids songs,279,0,547
lazy asses,279,0,547
nursery rhymes,279,0,547
nursery rhymes collection,279,0,547
nursery rhymes playlist,279,0,547
relaxation,279,0,547
rhymes,279,0,547
test merging tags test,279,0,547
wheels on the bus,279,0,547
variete francaise,278,108,496
chipmunk soul,278,0,464
hindi indie,277,167,516
roots rock,277,19,743
nigerian hip hop,276,276,0
rome indie,276,276,0
south african pop,276,276,0
post-rock,276,15,562
rage rap,275,150,234
melodic house,274,46,292
japanese teen pop,273,273,8
motown,273,78,316
korean,273,0,520
thai indie pop,271,253,301
nu disco,271,52,452
cancion melodica,271,43,404
funk rj,270,270,0
dembow dominicano,269,269,0
vinahouse,269,188,733
trap brasileiro,267,267,0
big band,267,26,912
horrorcore,267,14,590
leftfield,267,0,415
urban contemporary,266,242,35
new jack swing,266,35,336
neo mellow,264,264,6
australian pop,264,234,101
tamil dance,264,40,655
progressive pop,264,0,549
rap genovese,263,263,0
uk garage,263,20,569
sophisti-pop,263,17,549
criminal,263,0,464
miami hip hop,262,262,0
concerto,262,137,341
chillwave,262,13,468
electro latino,261,244,102
techengue,261,122,276
south african hip hop,260,260,0
albanian pop,259,251,8
bulgarian trap,258,258,0
rap belge,258,258,0
swedish pop rap,257,257,0
jazz pop,257,75,431
swing,257,28,926
favoritos,257,0,662
afro tech,256,114,271
4th gen k-pop,256,0,572
mainstream rock,256,0,467
portuguese pop,255,255,0
viral pop,255,255,0
lyricist,255,0,510
turkish,253,0,1308
corrido tumbado,253,0,609
frauenrap,252,252,0
maskandi,252,227,60
hip house,252,29,590
alternative dance,251,81,550
sadcore,251,1,462
traditional music,250,31,669
egyptian shaabi,249,124,525
latvian pop,248,246,6
pinoy hip hop,248,185,287
baroque,248,10,571
taiwan indie,247,247,0
turkce drill,246,246,0
tollywood,246,87,464
60s,246,0,508
tamil hip hop,245,115,357
pop argentino,244,244,0
neoperreo,244,146,364
non-musician,244,0,712
vgm,244,0,549
indie viet,241,241,0
khaliji,241,241,0
deu,240,0,681
queerphobe,240,0,681
terf,240,0,681
transphobe,240,0,681
lithuanian hip hop,239,177,274
ndombolo,239,90,196
chicha,238,182,415
heartland rock,238,53,431
progressive rap,238,0,391
instrumental hip hop,237,15,523
scandipop,236,236,0
jazz rap,236,46,501
brazilian pop,235,80,734
rage,235,0,602
dance-rock,234,0,648
soft pop,232,29,509
bulgarian hip hop,231,231,0
polish viral pop,231,231,0
moroccan chaabi,231,46,395
banda sinaloense,231,9,714
festival progressive house,230,0,613
lovers rock,229,33,281
score,228,1,476
beat music,227,0,457
modern alternative rock,226,226,0
lo-fi hip hop,226,4,460
new metal,226,0,298
german alternative rap,225,221,47
indonesian indie,225,159,468
pinoy r & b,225,146,389
funk mtg,224,224,0
modern classical,224,0,581
scottish,224,0,361
melodic drill,223,223,0
pop reggaeton,223,223,0
chinese indie,222,177,665
dangdut,222,97,586
mpb,222,87,445
estonian hip hop,221,221,0
bangla pop,221,23,349
south african trap,220,220,0
power metal,219,108,286
male vocalists,219,0,344
funk paulista,217,217,0
thai trap,217,177,240
electronic rock,217,3,317
trap tuga,216,216,0
czsk emo rap,215,215,0
singer-songwriter pop,215,215,0
finnish rock,215,116,1048
disco house,215,102,228
doom,215,0,266
turkish alt pop,214,214,0
telugu pop,214,44,452
bass house,213,109,279
glam metal,213,41,408
political hip hop,213,10,409
alternative country,213,5,338
columbia,213,0,625
korean r & b,212,212,0
k-ballad,212,129,508
spanish hip hop,210,210,0
rap latina,209,209,0
mexican hip hop,209,123,259
belgian pop,208,208,0
industrial rock,206,25,348
british composer,206,0,348
emo pop,206,0,346
milan indie,205,205,0
post-hardcore,205,8,412
lithuanian,205,0,731
lithuania,205,0,730
virginia,204,0,250
deep german hip hop,203,203,0
country road,203,199,6
electrocumbia,203,147,290
entehno,203,125,332
british invasion,203,29,352
southern rock,203,11,474
indian pop,203,0,457
arabic,203,0,378
idm,202,0,318
alabama thunderpussy,202,0,247
lamb of god,202,0,247
mugwart was a sludge,202,0,247
needs to be removed,202,0,247
sludge hardcore punk,202,0,247
and clutch. in 2011,202,0,246
damad,202,0,246
early‐2000s underground,202,0,246
fistula,202,0,246
foundational act of the virginia sludge,202,0,246
hardcore band from virginia beach,202,0,246
mugwart is regarded as a cult,202,0,246
sharing stages with grief,202,0,246
shifty records (sh09,202,0,246
skate scene,202,0,246
sofa king killer,202,0,246
tdr‐13,202,0,246
va,202,0,246
virginia beach,202,0,246
russian,200,0,350
aggro berlin,199,0,360
sad girl pop,199,0,244
reggae en espanol,198,188,22
greek underground rap,197,197,0
canzone napoletana,197,123,586
funky house,197,59,322
new romantic,196,66,465
symphonic rock,196,44,460
malay pop,195,110,633
italian indie pop,194,194,0
highlife,194,84,314
post-britpop,194,0,368
qawwali,193,84,341
boysband,193,0,288
sunshine pop,192,6,310
russian drain,191,191,0
pagode baiano,191,177,141
post-disco,191,22,277
guitar,191,0,374
pop venezolano,190,190,0
industrial,189,42,402
melodic techno,189,10,219
rif,188,188,0
crossover prog,188,0,395
brostep,187,116,122
contemporary pop,186,0,474
british rhythm & blues,186,0,368
california,186,0,321
death by murder,185,0,459
ghanaian hip hop,184,163,39
disco polo,184,93,315
ccm,184,50,196
merseybeat,184,8,349
dansk rap,183,170,33
shoegaze,183,21,353
ansage,183,0,209
aggro,183,0,208
country dreams,183,0,206
singeli,182,44,232
chanson francaise,182,0,454
chanteur,182,0,251
bossa nova,181,16,355
r & b en espanol,180,180,0
stutter house,180,72,264
hardcore techno,180,32,210
latin afrobeats,178,124,202
reggaeton mexa,178,96,310
academy award winner,178,0,628
big music,178,0,412
brega,177,89,478
smooth soul,177,0,426
post-teen pop,176,176,0
hip hop soul,176,0,271
korean pop,175,144,87
gothic metal,175,51,216
trap chileno,174,174,0
electroclash,174,13,378
audio drama,174,0,476
israeli hip hop,173,173,0
cantautor,173,172,1
childrens music,173,57,426
deutschrap,173,0,1188
compositeur,173,0,345
swedish electropop,172,172,0
turbo folk,172,171,1
classic soul,172,72,236
italian,172,0,791
drill espanol,171,171,0
indie poptimism,171,171,0
russian emo rap,171,171,0
kolumbien,171,0,553
garage,171,0,259
fotbollslatar,170,170,0
dubstep,170,25,399
kazakh hip hop,169,169,0
metalcore,169,39,231
japanese singer-songwriter,168,168,0
yacht rock,168,72,205
euro house,168,0,422
mexican rock,167,89,165
flamenco,167,45,819
dutch rock,166,166,0
soul blues,166,33,360
10s,166,0,303
cool,166,0,201
swedish eurodance,165,165,0
lo-fi indie,165,6,336
composers,165,0,474
australian indie,164,164,0
spanish rock,164,134,34
musicals,164,26,275
contemporary christian,164,0,245
azontobeats,163,163,0
hypertechno,163,102,153
