Genre,TrackCount,PrimaryFamily,SecondaryFamilies,PrimaryWeight,PrimaryConfidence,Reasons,PriorityScore
shwetabh sucks,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
sonic seducer cold hands vi,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
sprechgesang,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
sunshine,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
the welcome committee,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
trikitixa,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
tunguska chillout grooves,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
ultimatecore,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
ussr ministry of culture chamber choir,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
venezolana,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
vera kaa,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
visions,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
volkstumliche musik,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
wireharp,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
z103 5 street mix 2k7,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
zero t 51,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
zweiohr,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
ƒk₷m€,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
мелодии рождества,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
嫌われ松子の歌たち,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
drum and bass,830,bass_music,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.8392
s.a. souvenirs,446,,,,,no_family | no_related_styles | no_transition_styles,5.8307
laiko,820,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.8287
chanson,439,,,,,no_family | no_related_styles | no_transition_styles,5.8156
big room,437,,,,,no_family | no_related_styles | no_transition_styles,5.8112
opm,802,world_asian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.8094
instrumental,786,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7919
uk dance,428,,,,,no_family | no_related_styles | no_transition_styles,5.7914
americana,778,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7831
regional mexicano,771,regional_mexican,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7752
world,769,world_asian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.773
film soundtrack,763,soundtrack_stage,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7662
indie folk,753,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7547
rap francais,2388,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,5.743
downtempo,736,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7349
rai,736,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7349
tejano,723,regional_mexican,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7195
funk consciente,393,,,,,no_family | no_related_styles | no_transition_styles,5.7101
moombahton,392,,,,,no_family | no_related_styles | no_transition_styles,5.7077
epadunk,389,,,,,no_family | no_related_styles | no_transition_styles,5.7003
contemporary country,707,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.7001
neo psychedelia,385,,,,,no_family | no_related_styles | no_transition_styles,5.6905
anime,676,soundtrack_stage,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.6612
chalga,674,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.6586
alt z,363,,,,,no_family | no_related_styles | no_transition_styles,5.6344
fantasy,361,,,,,no_family | no_related_styles | no_transition_styles,5.6292
nu disco,357,,,,,no_family | no_related_styles | no_transition_styles,5.6185
sufi,630,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.6001
v-pop,1898,pop,world_asian,0.45,fallback,fallback_confidence | low_primary_weight,5.5735
pov: indie,339,,,,,no_family | no_related_styles | no_transition_styles,5.5693
musical,600,soundtrack_stage,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.5577
indian indie,333,,,,,no_family | no_related_styles | no_transition_styles,5.5522
devotional,589,gospel_spiritual,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.5417
parlophone,329,,,,,no_family | no_related_styles | no_transition_styles,5.5407
production music,326,,,,,no_family | no_related_styles | no_transition_styles,5.532
pop soul,1775,pop,rnb_soul,0.45,fallback,fallback_confidence | low_primary_weight,5.5241
psytrance,571,trance,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.5148
