Genre,TrackCount
finnish drill,82
"czech hip hop, czsk emo rap, czsk hip hop",82
"finnish dance pop, finnish hip hop, finnish pop, suomi rock",82
"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino",81
"thai hip hop, thai trap",81
"finnish pop, iskelma, suomi rock",81
"norwegian hip hop, norwegian pop",81
k-ballad,81
"chicago rap, melodic rap, rap",80
reggaeton chileno,80
"colombian pop, dance pop, latin pop, pop",80
turkish rock,80
"czsk emo rap, czsk hip hop",80
"german hip hop, german trap",80
"antilliaanse rap, dutch hip hop",80
viral afropop,80
portuguese hip hop,80
"italian hip hop, italian pop, italian underground hip hop, rap sardegna",79
"atl hip hop, hip hop, rap",78
"edm, pop, pop dance, tropical house",77
"atl hip hop, atl trap, rap, trap",77
"anime, j-pop",77
"german hip hop, swedish hip hop",77
"private school piano, amapiano, 3 step, gqom",77
future house,77
trap brasileiro,76
"trap argentino, trap triste",76
"atl hip hop, hip hop, pop rap, rap, trap",76
turbo folk,76
"german hip hop, turkish hip hop",76
"italian hip hop, italian pop, rome indie",76
"phonk, brazilian phonk",76
"desi hip hop, filmi, tamil hip hop",75
"french hip hop, pop urbaine, r&b francais, rap francais, rap marseille",75
"afrobeats, afropop, nigerian pop",75
"sertanejo, sertanejo universitario",74
"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop",74
"k-rap, korean r&b",74
"israeli mediterranean, israeli pop, mizrahi, persian pop",74
"deep german hip hop, german hip hop, hamburg hip hop",74
"mandopop, taiwan hip hop",74
"reggaeton chileno, chilean trap",74
"trap latino, reggaeton",74
"brass band, banda",74
"danish pop, scandipop",73
"funk pop, funk rj, pagode baiano, pop, pop nacional",73
"german alternative rap, german drill, german hip hop",73
"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",73
"dance pop, edm, pop, pop dance",73
salsa,73
bachata,73
"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino",72
"big room, dance pop, edm, pop, pop dance",72
"contemporary country, country, country road, modern country rock",72
"spanish pop, spanish pop rock",72
polish viral pop,72
"belgian hip hop, cloud rap francais, french hip hop, pop urbaine, rap belge",72
"greek hip hop, greek underground rap",72
moroccan pop,72
"afro soul, south african pop",72
"reggaeton, latin, urbano latino",71
irish pop,71
"cloud rap francais, french hip hop, pop urbaine, rap conscient, rap francais",71
"pop, post-teen pop",70
"pop reggaeton, reggaeton, trap latino, urbano latino",70
"frauenrap, german hip hop",70
"swedish drill, swedish hip hop, swedish trap pop",70
albanian pop,70
filmi,70
"italian hip hop, rap siciliano, trap italiana",70
"dancehall, soca, riddim, reggae",70
"conscious hip hop, hip hop, north carolina hip hop, rap",69
"italian adult pop, italian pop, rome indie",69
nz reggae,69
"dansk pop, dansktop",69
pop argentino,68
r&b francais,68
candombe,68
"dembow, urbano latino, latin",68
"canadian contemporary r&b, canadian pop, pop",67
"afroswing, grime, uk hip hop",67
"latin alternative, reggae uruguayo, rock en espanol, rock uruguayo",67
"reggaeton, trap colombiano, trap latino, urbano latino",66
"turkce drill, turkish hip hop",66
"k-pop, k-rap",66
"desi hip hop, punjabi pop",66
arabesk,66
"amapiano, barcadi",66
"french pop, rap conscient",66
"hungarian pop, magyar trap",66
"russian drain, russian hip hop, russian trap",66
hungarian hip hop,66
"latin hip hop, rap boricua, reggaeton, trap latino, urbano latino",65
uk pop,65
"malaysian mandopop, mandopop",65
"deep german hip hop, german hip hop",65
"arab pop, belly dance, egyptian pop, persian pop, rif",65
"egyptian hip hop, egyptian pop, egyptian trap",65
"c-pop, cantopop, mandopop",65
"classic israeli pop, israeli rock",65
"laiko, entehno",65
electro house,64
"hip pop, pop, queens hip hop, rap",64
"banda, musica mexicana, norteno",64
pop urbaine,64
"frauenrap, german hip hop, german pop",64
"finnish dance pop, finnish hip hop, finnish pop, finnish trap",64
"corrido, corridos tumbados, corridos belicos, musica mexicana, sad sierreno, sierreno, banda",64
"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",63
"italian hip hop, italian pop, trap italiana, trap latino",63
ukrainian viral pop,63
cumbia peruana,63
"israeli hip hop, israeli trap",63
"classic swedish pop, swedish pop, swedish singer-songwriter",63
"finnish dance pop, finnish pop, suomi rock",63
"french rap, french r&b, french pop, pop urbaine",63
"reggaeton, trap latino, dembow, urbano latino",63
"dance pop, miami hip hop, pop",62
"indonesian pop, indonesian pop rock",62
"agronejo, arrocha, pop nacional, sertanejo, sertanejo universitario",62
"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",62
"drill francais, french hip hop, pop urbaine, r&b francais, rap francais",62
"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",62
"turkish deep house, turkish pop",62
"french hip hop, french pop, r&b francais, rap conscient",62
"salsa, salsa puertorriquena, tropical",62
"arrocha, forro",62
5th gen k-pop,62
"danish pop, danish pop rock",62
pop dance,61
"dfw rap, melodic rap, pop, rap",61
colombian pop,61
"hip hop, melodic rap, philly rap, rage rap, rap",61
"desi hip hop, pakistani hip hop, punjabi hip hop, punjabi pop",61
southern hip hop,61
"basshall, pop urbaine, r&b francais",61
"cloud rap francais, french hip hop, pop urbaine, rap conscient",61
"banda, corrido, musica mexicana, norteno, sierreno",61
"drill francais, french hip hop, pop urbaine",61
"mandopop, singaporean mandopop, singaporean pop",61
"italian trap, concerto",61
"turkish pop, t-pop",61
trap argentino,60
"indie pop rap, oakland hip hop, pop rap, rap",60
lustrum,60
"israeli mediterranean, mizrahi",60
"lithuanian hip hop, lithuanian trap",60
haryanvi pop,60
"brazilian funk, trap funk, funk consciente",60
"hip hop, miami hip hop, pop rap, rap",59
"girl group, pop, talent show, uk pop",59
"k-pop, korean r&b",59
"alt z, norwegian pop, pop, uk pop",59
"classic italian pop, italian adult pop",59
korean pop,59
"khaleeji iraqi, khaliji",59
"russian alt pop, russian hip hop",59
latin afrobeats,59
"bachata, merengue",59
"j-pop, japanese singer-songwriter, japanese teen pop",58
country,58
dutch rap pop,58
"romanian rap, romanian trap",58
"russian emo rap, russian hip hop, russian trap",58
"italian hip hop, italian indie pop, italian pop, trap italiana",58
"italian hip hop, italian underground hip hop",58
"egyptian pop, khaleeji",58
"hip hop, west coast hip hop",58
singer-songwriter pop,57
"rap dominicano, reggaeton, trap latino, urbano latino",57
"canadian hip hop, canadian trap, melodic rap, rap, trap",57
"arrocha, forro, sertanejo, sertanejo universitario",57
"italian adult pop, italian hip hop, italian pop",57
"norwegian hip hop, norwegian pop, russelater",57
"french hip hop, pop urbaine, r&b francais, rap algerien",56
"trap chileno, urbano chileno",56
shatta,56
"bulgarian hip hop, bulgarian pop, bulgarian trap",56
"egyptian pop, mahraganat",56
finnish dance pop,56
indie,56
"reggaeton, trap latino, latin, urbano latino",56
argentine trap,55
"latin pop, puerto rican pop",55
drill italiana,55
"latin talent show, latin viral pop, spanish pop",55
"indie viet, v-pop",55
"estonian hip hop, estonian pop",55
greek underground rap,55
nigerian pop,55
"russelater, swedish eurodance",55
"rap maroc, trap maroc",55
"chicha, cumbia",55
corrido,54
