Genres,GenreCount,TrackCount
"2000s, 2010s, 2020s, actress, adult contemporary, alternative r&b, american, art pop, businesswoman, contemporary pop, contemporary r&b, country, cultural icon, dance, dance-pop, dancer, director, disco, electropop, funk, grammy winner, hard rock, hip hop, hip hop rnb and dance hall, house, icon, mbs-333, moombahton, nuno, philanthropist, pianist, pop, pop rap, pop rock, pop soul, progressive house, r&b, rap, rnb, singer-songwriter, singer | pop, rap, dance, house, american, vocalist, singer-songwriter, hip hop, hard rock, funk, country, actress, soul, electropop, disco, rnb, pianist, americana, director, icon, 2000s, dance-pop, adult contemporary, pop rock, pop rap, progressive house, dancer, hip hop rnb and dance hall, pop soul, grammy winner, r&b, singer | songwriter, contemporary r&b, 2010s, mbs-333, art pop, alternative r&b, moombahton, contemporary pop, 2020s, nuno, cultural icon, businesswoman, philanthropist | songwriter, soul, vocalist",4,82
"drill espanol, urbano espanol",1,82
"cloud rap, emo rap, hip hop, horrorcore, memphis rap, phonk, punk rap, southern hip hop, trap, underground hip hop",1,82
arabesk,1,82
finnish drill,1,82
"czech hip hop, czsk emo rap, czsk hip hop",1,82
"finnish dance pop, finnish hip hop, finnish pop, suomi rock",1,82
"2010s, ag4, awful, blue-eyed soul, contemporary r&b, dance-pop, electro house, electropop, english, female vocals, nuno, pop, pop soul, r&b, trap, trap soul",1,81
"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino",1,81
"finnish pop, iskelma, suomi rock",1,81
gospel,1,81
"chicago rap, melodic rap, rap",1,80
"colombian pop, dance pop, latin pop, pop",1,80
"sertanejo, sertanejo universitario",1,80
turkish rock,1,80
"t-pop, thai pop, thai rock",1,80
"czsk emo rap, czsk hip hop",1,80
"german hip hop, german trap",1,80
"antilliaanse rap, dutch hip hop",1,80
moroccan pop,1,80
viral afropop,1,80
"italian hip hop, italian pop, italian underground hip hop, rap sardegna",1,79
"private school piano, amapiano, 3 step, gqom",1,79
"atl hip hop, hip hop, rap",1,78
"edm, pop, pop dance, tropical house",1,77
"atl hip hop, atl trap, rap, trap",1,77
ambient,1,77
shatta,1,77
"german hip hop, swedish hip hop",1,77
candombe,1,77
"brazilian phonk, phonk",1,76
trap brasileiro,1,76
"trap argentino, trap triste",1,76
"atl hip hop, hip hop, pop rap, rap, trap",1,76
"bolero, cancion melodica, latin, latin american, latin ballad, latin pop, mariachi, mexican, national folk, pop, ranchera, villancicos",1,76
turbo folk,1,76
"german hip hop, turkish hip hop",1,76
"italian hip hop, italian pop, rome indie",1,76
"laiko, entehno",1,76
"2000s, 2010s, blacklist, abuser, american, anti vax, contemporary r&b, dance, dance-pop, electro house, electropop, hip hop, hip hop rnb and dance hall, hip-hop, misogynist, pop, pop rap, r&b, relic inn, rnb, trap, wifebeater, ya man aint me (produced by the.mp3",1,75
"desi hip hop, filmi, tamil hip hop",1,75
