Genre,TrackCount,PrimaryFamily,PrimaryWeight,PrimaryConfidence,Reason
arabesk,407,middle_eastern,0.45,fallback,untrusted_fallback
3rd gen k-pop,405,pop,0.45,fallback,untrusted_fallback
grunge,404,rock,0.45,fallback,untrusted_fallback
funk consciente,393,,0.0,,no_primary_family
moombahton,392,,0.0,,no_primary_family
tekno,391,techno,0.45,fallback,untrusted_fallback
trap boricua,391,hip_hop,0.45,fallback,untrusted_fallback
epadunk,389,,0.0,,no_primary_family
neo psychedelia,385,,0.0,,no_primary_family
aor,370,rock,0.45,fallback,untrusted_fallback
hk-pop,364,pop,0.45,fallback,untrusted_fallback
alt z,363,,0.0,,no_primary_family
fantasy,361,,0.0,,no_primary_family
rap ivoire,360,hip_hop,0.45,fallback,untrusted_fallback
drill francais,359,hip_hop,0.45,fallback,untrusted_fallback
nu disco,357,,0.0,,no_primary_family
cloud rap francais,349,hip_hop,0.45,fallback,untrusted_fallback
g-funk,349,hip_hop,0.45,fallback,untrusted_fallback
blue-eyed soul,346,rnb_soul,0.45,fallback,untrusted_fallback
future bass,344,bass_music,0.45,fallback,untrusted_fallback
kollywood,341,world_asian,0.45,fallback,untrusted_fallback
orchestral,341,classical,0.45,fallback,untrusted_fallback
pov: indie,339,,0.0,,no_primary_family
metropopolis,338,pop,0.45,fallback,untrusted_fallback
contemporary folk,337,country_folk,0.45,fallback,untrusted_fallback
indian indie,333,,0.0,,no_primary_family
hyperpop,331,pop,0.45,fallback,untrusted_fallback
parlophone,329,,0.0,,no_primary_family
production music,326,,0.0,,no_primary_family
adult standards,317,,0.0,,no_primary_family
film score,317,classical,0.45,fallback,untrusted_fallback
asakaa,315,,0.0,,no_primary_family
bacardi,312,house,0.45,fallback,untrusted_fallback
bhangra,310,,0.0,,no_primary_family
malay,302,,0.0,,no_primary_family
psychedelic,302,,0.0,,no_primary_family
taylor-swift,300,,0.0,,no_primary_family
nederpop,299,pop,0.45,fallback,untrusted_fallback
sholawat,297,gospel_spiritual,0.45,fallback,untrusted_fallback
guaracha,294,latin_tropical,0.45,fallback,untrusted_fallback
bongo flava,288,african,0.45,fallback,untrusted_fallback
pbr & b,285,,0.0,,no_primary_family
flamenco urbano,284,,0.0,,no_primary_family
german indie,284,,0.0,,no_primary_family
p-pop,284,pop,0.45,fallback,untrusted_fallback
standards,284,,0.0,,no_primary_family
pagode,280,brazilian,0.45,fallback,untrusted_fallback
traditional,280,,0.0,,no_primary_family
latin ballad,279,pop,0.45,fallback,untrusted_fallback
lazy asses,279,,0.0,,no_primary_family
relaxation,279,,0.0,,no_primary_family
rhymes,279,,0.0,,no_primary_family
chipmunk soul,278,rnb_soul,0.45,fallback,untrusted_fallback
variete francaise,278,,0.0,,no_primary_family
hindi indie,277,world_asian,0.45,fallback,untrusted_fallback
rome indie,276,,0.0,,no_primary_family
cancion melodica,271,,0.0,,no_primary_family
funk rj,270,brazilian,0.45,fallback,untrusted_fallback
vinahouse,269,house,0.45,fallback,untrusted_fallback
big band,267,jazz_blues,0.45,fallback,untrusted_fallback
horrorcore,267,,0.0,,no_primary_family
leftfield,267,,0.0,,no_primary_family
trap brasileiro,267,hip_hop,0.45,fallback,untrusted_fallback
urban contemporary,266,rnb_soul,0.45,fallback,untrusted_fallback
neo mellow,264,,0.0,,no_primary_family
tamil dance,264,world_asian,0.45,fallback,untrusted_fallback
rap genovese,263,hip_hop,0.45,fallback,untrusted_fallback
sophisti-pop,263,pop,0.45,fallback,untrusted_fallback
chillwave,262,electronic,0.45,fallback,untrusted_fallback
concerto,262,classical,0.45,fallback,untrusted_fallback
electro latino,261,electronic,0.45,fallback,untrusted_fallback
popular colombian music,260,pop,0.45,fallback,untrusted_fallback
rap belge,258,hip_hop,0.45,fallback,untrusted_fallback
swing,257,jazz_blues,0.45,fallback,untrusted_fallback
4th gen k-pop,256,pop,0.45,fallback,untrusted_fallback
frauenrap,252,hip_hop,0.45,fallback,untrusted_fallback
maskandi,252,african,0.45,fallback,untrusted_fallback
alternative dance,251,,0.0,,no_primary_family
sadcore,251,,0.0,,no_primary_family
egyptian shaabi,249,middle_eastern,0.45,fallback,untrusted_fallback
baroque,248,classical,0.45,fallback,untrusted_fallback
taiwan indie,247,,0.0,,no_primary_family
tollywood,246,world_asian,0.45,fallback,untrusted_fallback
neoperreo,244,latin_urban,0.45,fallback,untrusted_fallback
pop argentino,244,pop,0.45,fallback,untrusted_fallback
vgm,244,soundtrack_stage,0.45,fallback,untrusted_fallback
